Collar,Latitude,Longitude,Altitude,Temp,AnimalTitle,GMT_Stamp,GMT_Formatted
38055,41.8445169,-88.1554883,200.54,27,Coyote - Cantigny 38055 (M),1.43147E+12,May 12 2015 11:00:29 PM
38055,41.8445517,-88.1554769,206.72,21,Coyote - Cantigny 38055 (M),1.43148E+12,May 13 2015 01:00:54 AM
38055,41.8445189,-88.155505,216.79,14,Coyote - Cantigny 38055 (M),1.43149E+12,May 13 2015 04:00:47 AM
38055,41.8445222,-88.1555986,207.38,12,Coyote - Cantigny 38055 (M),1.43149E+12,May 13 2015 05:01:13 AM
38055,41.8445114,-88.1555247,201.22,12,Coyote - Cantigny 38055 (M),1.43149E+12,May 13 2015 05:03:13 AM
38055,41.8444875,-88.1555264,204.19,12,Coyote - Cantigny 38055 (M),1.43149E+12,May 13 2015 05:06:09 AM
38055,41.8444317,-88.155505,208.12,12,Coyote - Cantigny 38055 (M),1.43149E+12,May 13 2015 05:12:11 AM
38055,41.8484519,-88.1632994,190.63,26,Coyote - Cantigny 38055 (M),1.43155E+12,May 13 2015 09:00:29 PM
38055,41.8484269,-88.1635381,222.21,29,Coyote - Cantigny 38055 (M),1.43156E+12,May 13 2015 11:00:13 PM
38055,41.8483369,-88.1632822,203.41,27,Coyote - Cantigny 38055 (M),1.43157E+12,May 14 2015 01:00:21 AM
38055,41.8514825,-88.1553306,222.49,23,Coyote - Cantigny 38055 (M),1.43158E+12,May 14 2015 04:00:29 AM
38055,41.8515417,-88.1552667,215.17,24,Coyote - Cantigny 38055 (M),1.43158E+12,May 14 2015 05:01:10 AM
38055,41.8515339,-88.1552422,213.14,24,Coyote - Cantigny 38055 (M),1.43158E+12,May 14 2015 05:03:11 AM
38055,41.8516031,-88.1553267,221.05,25,Coyote - Cantigny 38055 (M),1.43158E+12,May 14 2015 05:08:15 AM
38055,41.8516275,-88.1553217,206.04,24,Coyote - Cantigny 38055 (M),1.43158E+12,May 14 2015 05:12:16 AM
38055,41.8525228,-88.1652511,217.92,27,Coyote - Cantigny 38055 (M),1.43164E+12,May 14 2015 09:01:00 PM
38055,41.8526269,-88.16523,197.48,26,Coyote - Cantigny 38055 (M),1.43164E+12,May 14 2015 11:00:17 PM
38055,41.8525128,-88.1653089,208.66,30,Coyote - Cantigny 38055 (M),1.43165E+12,May 15 2015 01:00:29 AM
38055,41.85881,-88.1707758,195.19,15,Coyote - Cantigny 38055 (M),1.43166E+12,May 15 2015 04:02:45 AM
38055,41.8398631,-88.1662289,182.7,14,Coyote - Cantigny 38055 (M),1.43167E+12,May 15 2015 05:01:29 AM
38055,41.8403731,-88.1666597,180.88,15,Coyote - Cantigny 38055 (M),1.43167E+12,May 15 2015 05:03:17 AM
38055,41.8404083,-88.1671769,182.52,15,Coyote - Cantigny 38055 (M),1.43167E+12,May 15 2015 05:06:12 AM
38055,41.8410369,-88.1658108,185.47,15,Coyote - Cantigny 38055 (M),1.43167E+12,May 15 2015 05:12:13 AM
38056,41.8477217,-88.1624436,200.28,28,Coyote - Cantigny 38056 (F),1.43172E+12,May 15 2015 09:00:48 PM
38055,41.8484028,-88.1637983,202.74,30,Coyote - Cantigny 38055 (M),1.43172E+12,May 15 2015 09:01:00 PM
38055,41.8482964,-88.1631269,203.96,27,Coyote - Cantigny 38055 (M),1.43173E+12,May 15 2015 11:00:15 PM
38056,41.8476911,-88.1624094,204.07,28,Coyote - Cantigny 38056 (F),1.43173E+12,May 15 2015 11:00:30 PM
38056,41.8477661,-88.1623706,202.26,26,Coyote - Cantigny 38056 (F),1.43174E+12,May 16 2015 01:00:47 AM
38055,41.8484253,-88.1630167,210.46,29,Coyote - Cantigny 38055 (M),1.43174E+12,May 16 2015 01:00:53 AM
38055,41.8517925,-88.15811,199.04,26,Coyote - Cantigny 38055 (M),1.43175E+12,May 16 2015 04:00:30 AM
